id,start_time,origin,destination,kind
872,1505,17,5,Human
873,1506,17,5,Human
874,1517,11,20,Human
875,1517,37,81,Human
876,1518,1,1,Human
877,1519,1,10,Human
878,1520,4,20,Human
879,1521,11,20,Human
880,1521,1,10,Human
881,1523,11,20,Human
882,1523,1,1,Human
883,1526,11,20,Human
884,1528,11,2,Human
885,1531,4,20,Human
886,1535,4,20,Human
887,1536,4,3,Human
888,1538,4,3,Human
889,1539,11,5,Human
890,1539,4,3,Human
891,1543,4,3,Human
892,1545,77,3,Human
893,1545,17,5,Human
894,1546,4,3,Human
895,1548,4,3,Human
896,1548,1,1,Human
897,1549,24,1,Human
898,1549,4,2,Human
899,1550,57,20,Human
900,1555,68,10,Human
901,1557,8,10,Human
902,1558,111,3,Human
903,1558,4,3,Human
904,1559,4,2,Human
905,1561,112,10,Human
906,1562,4,3,Human
907,1563,47,3,Human
908,1564,4,3,Human
909,1566,4,3,Human
910,1574,0,2,Human
911,1578,1,1,Human
912,1580,1,1,Human
913,1580,13,4,Human
914,1582,4,3,Human
915,1583,113,10,Human
916,1584,114,3,Human
917,1585,4,2,Human
918,1586,4,3,Human
919,1589,42,9,Human
920,1589,4,90,Human
921,1591,115,2,Human
922,1591,0,2,Human
923,1591,16,4,Human
924,1592,16,9,Human
925,1594,0,2,Human
926,1594,16,9,Human
927,1596,4,3,Human
928,1596,16,9,Human
929,1599,17,5,Human
930,1601,16,9,Human
931,1602,16,103,Human
932,1604,116,10,Human
933,1604,16,4,Human
934,1604,11,3,Human
935,1606,11,20,Human
936,1607,8,2,Human
937,1607,4,3,Human
938,1608,117,3,Human
939,1608,11,20,Human
940,1609,11,3,Human
941,1611,11,20,Human
942,1613,11,3,Human
943,1614,11,3,Human
944,1615,1,1,Human
945,1616,11,3,Human
946,1616,1,1,Human
947,1618,11,3,Human
948,1618,4,3,Human
949,1619,11,3,Human
950,1621,1,1,Human
951,1621,0,2,Human
952,1621,4,3,Human
953,1622,118,10,Human
954,1622,0,3,Human
955,1624,119,1,Human
956,1626,0,3,Human
957,1631,1,1,Human
958,1632,4,4,Human
959,1641,98,2,Human
960,1642,21,10,Human
961,1644,21,9,Human
962,1648,4,104,Human
963,1649,1,1,Human
964,1650,21,10,Human
965,1652,21,9,Human
966,1654,4,2,Human
967,1654,21,10,Human
968,1654,17,5,Human
969,1656,21,4,Human
970,1657,4,3,Human
971,1662,8,98,Human
972,1664,120,3,Human
973,1665,17,16,Human
974,1667,121,105,Human
975,1671,11,4,Human
976,1673,4,3,Human
977,1676,53,3,Human
978,1677,4,3,Human
979,1679,17,5,Human
980,1681,122,106,Human
981,1682,0,2,Human
982,1682,8,2,Human
983,1682,16,71,Human
984,1684,123,2,Human
985,1684,16,10,Human
986,1688,11,3,Human
987,1689,16,107,Human
988,1690,124,10,Human
989,1694,125,3,Human
990,1694,1,1,Human
991,1695,21,21,Human
992,1697,1,1,Human
993,1699,21,10,Human
994,1701,21,10,Human
995,1702,16,10,Human
996,1703,21,9,Human
997,1709,0,2,Human
998,1709,0,3,Human
999,1710,40,9,Human
1000,1710,0,2,Human
1001,1712,126,108,Human
1002,1714,45,4,Human
1003,1717,123,2,Human
1004,1720,1,1,Human
1005,1727,127,10,Human
1006,1727,4,3,Human
1007,1732,4,3,Human
1008,1740,0,3,Human
1009,1743,128,9,Human
1010,1744,17,5,Human
1011,1745,4,3,Human
1012,1748,4,3,Human
1013,1749,4,3,Human
1014,1753,129,10,Human
1015,1753,4,3,Human
1016,1754,4,3,Human
1017,1755,16,5,Human
1018,1756,130,3,Human
1019,1757,4,3,Human
1020,1760,17,5,Human
1021,1767,11,4,Human
1022,1768,11,3,Human
1023,1772,16,55,Human
1024,1776,16,109,Human
1025,1776,4,20,Human
1026,1777,4,20,Human
1027,1778,11,3,Human
1028,1780,11,4,Human
1029,1786,11,3,Human
1030,1790,131,5,Human
1031,1790,17,108,Human
1032,1791,13,2,Human
1033,1795,0,3,Human
1034,1798,43,9,Human
1035,1801,17,5,Human
1036,1807,17,110,Human
1037,1808,4,2,Human
1038,1814,21,4,Human
1039,1818,0,3,Human
1040,1820,11,3,Human
1041,1822,132,5,Human
1042,1827,11,2,Human
1043,1828,1,1,Human
1044,1829,133,3,Human
1045,1835,43,3,Human
1046,1836,17,5,Human
1047,1837,4,20,Human
1048,1840,0,2,Human
1049,1841,0,3,Human
1050,1843,4,20,Human
1051,1844,7,9,Human
1052,1846,7,9,Human
1053,1847,0,3,Human
1054,1847,7,9,Human
1055,1847,17,5,Human
1056,1849,13,111,Human
1057,1849,0,3,Human
1058,1849,7,4,Human
1059,1849,0,2,Human
1060,1851,0,3,Human
1061,1851,7,10,Human
1062,1851,0,3,Human
1063,1852,7,9,Human
1064,1854,7,10,Human
1065,1857,114,3,Human
1066,1860,16,10,Human
1067,1860,7,9,Human
1068,1862,7,9,Human
1069,1864,7,10,Human
1070,1865,7,112,Human
1071,1867,7,9,Human
1072,1870,7,9,Human
1073,1870,11,3,Human
1074,1872,11,3,Human
1075,1874,11,3,Human
1076,1874,7,9,Human
1077,1875,11,3,Human
1078,1876,7,10,Human
1079,1877,7,9,Human
1080,1877,16,10,Human
1081,1878,11,3,Human
1082,1879,7,9,Human
1083,1880,21,113,Human
1084,1880,11,3,Human
1085,1881,7,1,Human
1086,1882,39,3,Human
1087,1895,11,3,Human
1088,1897,11,3,Human
1089,1898,11,3,Human
1090,1900,11,3,Human
1091,1902,11,3,Human
1092,1903,131,1,Human
1093,1904,4,2,Human
1094,1905,4,20,Human
1095,1906,1,1,Human
1096,1908,16,114,Human
1097,1908,21,4,Human
1098,1910,11,3,Human
1099,1911,4,115,Human
1100,1916,134,3,Human
1101,1917,11,20,Human
1102,1926,135,10,Human
1103,1927,4,2,Human
1104,1930,136,10,Human
1105,1934,7,10,Human
1106,1935,6,20,Human
1107,1935,7,9,Human
1108,1936,0,3,Human
1109,1937,7,10,Human
1110,1938,7,9,Human
1111,1940,7,9,Human
1112,1942,7,10,Human
1113,1942,0,93,Human
1114,1943,7,9,Human
1115,1945,7,10,Human
1116,1946,7,116,Human
1117,1950,7,10,Human
1118,1951,137,3,Human
1119,1951,7,9,Human
1120,1952,11,3,Human
