id,q-table
600,-9.04  0.00  0.00
601,0.00  -14.60  0.00
602,0.00  0.00  -12.48
603,-11.98  0.00  0.00
604,0.00  0.00  -22.21
605,0.00  -16.90  0.00
606,0.00  0.00  -10.28
607,0.00  0.00  -20.89
608,0.00  0.00  -10.00
609,-24.06  0.00  0.00
610,-17.76  0.00  0.00
611,-6.01  0.00  0.00
612,0.00  -10.31  0.00
613,-14.70  0.00  0.00
614,0.00  0.00  -5.24
615,0.00  0.00  -5.18
616,0.00  -18.72  0.00
617,-13.64  0.00  0.00
618,0.00  0.00  -16.79
619,-16.88  0.00  0.00
620,0.00  0.00  -15.49
621,-11.09  0.00  0.00
622,-11.80  0.00  0.00
623,0.00  0.00  -6.27
624,0.00  0.00  -11.73
625,-23.23  0.00  0.00
626,0.00  0.00  -10.23
627,0.00  -10.03  0.00
628,0.00  -5.94  0.00
629,0.00  0.00  -13.87
630,0.00  -19.28  0.00
631,-10.96  0.00  0.00
632,-15.60  0.00  0.00
633,-9.00  0.00  0.00
634,0.00  -5.78  0.00
635,-9.32  0.00  0.00
636,-14.57  0.00  0.00
637,0.00  0.00  -10.18
638,-11.77  0.00  0.00
639,-7.33  0.00  0.00
640,0.00  -20.24  0.00
641,-22.00  0.00  0.00
642,0.00  0.00  -11.78
643,0.00  -23.94  0.00
644,-8.92  0.00  0.00
645,-11.05  0.00  0.00
646,0.00  -12.15  0.00
647,0.00  -14.34  0.00
648,0.00  0.00  -6.86
649,0.00  -9.38  0.00
650,0.00  0.00  -9.67
651,0.00  0.00  -8.67
652,-16.66  0.00  0.00
653,0.00  0.00  -13.14
654,0.00  -11.07  0.00
655,0.00  0.00  -11.17
656,0.00  0.00  -18.28
657,-8.36  0.00  0.00
658,0.00  -8.41  0.00
659,0.00  0.00  -16.71
660,-8.31  0.00  0.00
661,-22.31  0.00  0.00
662,0.00  -9.37  0.00
663,0.00  -8.44  0.00
664,0.00  -4.85  0.00
665,0.00  -5.28  0.00
666,-12.60  0.00  0.00
667,-14.46  0.00  0.00
668,0.00  0.00  -12.21
669,-9.27  0.00  0.00
670,-13.52  0.00  0.00
671,0.00  -11.41  0.00
672,0.00  0.00  -11.12
673,0.00  0.00  -19.12
674,-9.59  0.00  0.00
675,0.00  0.00  -9.77
676,0.00  0.00  -9.75
677,0.00  0.00  -8.91
678,-21.30  0.00  0.00
679,0.00  0.00  -20.10
680,0.00  0.00  -10.15
681,-10.50  0.00  0.00
682,-14.62  0.00  0.00
683,0.00  0.00  -7.95
684,0.00  -10.29  0.00
685,-10.43  0.00  0.00
686,0.00  0.00  -6.88
687,0.00  0.00  -7.27
688,-19.38  0.00  0.00
689,0.00  -5.70  0.00
690,-6.06  0.00  0.00
691,-15.34  0.00  0.00
692,0.00  0.00  -12.95
693,0.00  -15.84  0.00
694,-12.92  0.00  0.00
695,-4.74  0.00  0.00
696,-16.42  0.00  0.00
697,-15.59  0.00  0.00
698,0.00  -9.35  0.00
699,-11.26  0.00  0.00
700,0.00  -22.28  0.00
701,0.00  0.00  -16.42
702,-8.30  0.00  0.00
703,-7.69  0.00  0.00
704,0.00  0.00  -13.56
705,0.00  -18.80  0.00
706,0.00  0.00  -16.90
707,-18.98  0.00  0.00
708,0.00  -22.40  0.00
709,0.00  0.00  -12.10
710,0.00  -13.45  0.00
711,0.00  -15.49  0.00
712,0.00  0.00  -7.42
713,-11.96  0.00  0.00
714,0.00  -9.55  0.00
715,0.00  -4.63  0.00
716,0.00  0.00  -10.23
717,0.00  -23.25  0.00
718,0.00  -9.13  0.00
719,0.00  -5.28  0.00
720,0.00  -18.46  0.00
721,0.00  -17.70  0.00
722,-9.00  0.00  0.00
723,0.00  -15.73  0.00
724,-8.45  0.00  0.00
725,-12.45  0.00  0.00
726,0.00  -13.54  0.00
727,-9.15  0.00  0.00
728,-9.10  0.00  0.00
729,-7.17  0.00  0.00
730,-7.04  0.00  0.00
731,0.00  -10.69  0.00
732,0.00  -12.89  0.00
733,-10.46  0.00  0.00
734,-17.03  0.00  0.00
735,0.00  -13.27  0.00
736,0.00  -10.86  0.00
737,-7.50  0.00  0.00
