id,epsilon,q_table
707,0.77,-18.16  -16.07  0.00
708,0.66,-18.21  0.00  0.00
709,0.70,0.00  -11.73  -9.29
710,0.67,-15.10  -17.63  0.00
711,0.72,-15.72  0.00  -11.31
712,0.69,-17.19  0.00  0.00
713,0.62,-12.98  -8.52  0.00
714,0.67,-6.81  0.00  -8.82
715,0.84,-17.21  0.00  -16.82
716,0.70,-13.89  0.00  0.00
717,0.63,-9.56  -8.43  0.00
718,0.88,-21.63  0.00  0.00
719,0.85,0.00  0.00  -32.38
720,0.70,-18.88  0.00  0.00
721,0.75,-8.55  -10.80  0.00
722,0.80,0.00  -8.85  0.00
723,0.82,-10.57  -14.69  0.00
724,0.82,-11.71  0.00  -17.82
725,0.73,-6.43  0.00  -10.64
726,0.74,0.00  -26.98  0.00
727,0.88,0.00  -12.44  -22.75
728,0.72,-15.76  0.00  -20.40
729,0.74,-16.96  0.00  0.00
730,0.59,-10.93  0.00  -18.94
731,0.75,-14.74  0.00  -7.72
732,0.59,-18.93  0.00  -12.29
733,0.77,-10.12  -8.28  0.00
734,0.69,-19.10  -20.59  0.00
735,0.77,-6.98  -5.39  0.00
736,0.69,-11.41  -9.69  0.00
737,0.95,0.00  -14.40  -18.43
738,0.71,0.00  -10.11  -8.16
739,0.64,-15.73  0.00  0.00
740,0.91,-8.13  -9.76  0.00
741,0.76,0.00  -15.97  0.00
742,0.72,0.00  -8.82  -10.38
743,0.71,-17.36  -17.37  0.00
744,0.81,-15.59  -11.61  0.00
745,0.59,-10.19  0.00  0.00
746,0.80,-9.93  0.00  0.00
747,0.60,-5.86  -10.98  0.00
748,0.66,-22.71  0.00  -16.77
749,0.87,-8.67  -12.13  0.00
750,0.82,0.00  -9.17  -13.16
751,0.66,-15.99  0.00  -24.61
752,0.66,-14.88  0.00  -9.47
753,0.84,0.00  0.00  -27.15
754,0.80,-12.72  -11.35  0.00
755,0.75,-19.08  -21.26  0.00
756,0.74,-13.66  0.00  -10.82
757,0.72,0.00  -26.16  0.00
758,0.63,-10.06  0.00  -8.21
759,0.70,0.00  -25.85  0.00
760,0.92,-24.29  0.00  0.00
761,0.72,-9.44  0.00  -17.81
762,0.73,-20.98  0.00  0.00
763,0.92,0.00  -23.21  0.00
764,0.61,-8.14  -7.91  0.00
765,0.77,0.00  0.00  -11.38
766,0.80,0.00  0.00  -16.95
767,0.78,0.00  0.00  -14.12
768,0.69,0.00  -15.65  -18.32
769,0.57,-7.09  0.00  -9.15
770,0.60,-6.39  0.00  -13.04
771,0.87,-11.14  0.00  -17.45
772,0.93,0.00  0.00  -19.19
773,0.83,0.00  -12.74  0.00
774,0.76,-6.09  0.00  -10.51
775,0.64,-11.82  0.00  -11.66
776,0.61,-11.64  -13.68  0.00
777,0.59,-24.36  0.00  0.00
778,0.79,0.00  -13.58  -9.01
779,0.88,0.00  -20.12  0.00
780,0.61,-11.10  0.00  -13.77
781,0.68,0.00  -9.83  -7.22
782,0.61,0.00  0.00  -29.23
783,0.69,0.00  0.00  -14.22
784,0.79,0.00  0.00  -16.21
785,0.79,0.00  0.00  -19.54
786,0.79,-12.55  -5.36  0.00
787,0.81,-13.77  -21.50  0.00
788,0.76,0.00  -18.35  -15.06
789,0.82,0.00  -8.98  -9.47
790,0.81,0.00  -9.59  -10.15
791,0.78,0.00  -30.21  0.00
792,0.77,-16.70  0.00  -13.89
793,0.59,-15.60  0.00  -14.74
794,0.60,0.00  -13.23  -20.24
795,0.77,-12.30  -10.82  0.00
796,0.84,0.00  0.00  -25.94
797,0.65,0.00  -9.74  -15.97
798,0.68,-12.12  -16.20  0.00
799,0.86,0.00  -14.33  -9.32
800,0.67,-6.24  0.00  -7.31
801,0.87,-17.71  -9.62  0.00
802,0.77,-15.82  0.00  -9.28
803,0.83,0.00  0.00  -19.94
804,0.78,-17.91  -9.95  0.00
805,0.76,-22.21  0.00  0.00
806,0.72,0.00  -17.92  0.00
807,0.83,0.00  -10.01  -9.21
808,0.81,-15.11  -22.43  0.00
809,0.75,-7.89  -5.34  0.00
810,0.87,-10.39  0.00  -5.50
811,0.74,-10.81  0.00  -8.02
812,0.72,0.00  -25.71  0.00
813,0.79,-22.00  -12.43  0.00
814,0.85,-8.12  -6.13  0.00
815,0.77,-6.45  -9.03  0.00
816,0.74,-25.74  0.00  0.00
817,0.78,0.00  0.00  -22.30
818,0.83,0.00  -16.24  -13.17
819,0.80,-21.48  -12.98  0.00
820,0.84,-11.54  -22.21  0.00
821,0.77,0.00  -10.02  -5.16
822,0.79,-8.88  -9.87  0.00
823,0.80,-15.81  0.00  -14.37
824,0.65,0.00  -12.06  -18.99
825,0.88,-11.19  0.00  0.00
826,0.68,-8.46  -8.89  0.00
827,0.78,0.00  -16.48  -9.28
828,0.76,-22.39  0.00  0.00
829,0.72,0.00  -15.15  -19.30
830,0.80,0.00  0.00  -23.92
831,0.77,0.00  -28.77  0.00
832,0.81,-8.41  0.00  -6.63
833,0.70,-12.30  0.00  -7.94
834,0.65,-12.77  -13.49  0.00
835,0.63,-11.04  -11.22  0.00
836,0.66,-10.29  0.00  -11.44
837,0.70,-16.25  0.00  -18.19
838,0.88,-22.45  -17.37  0.00
839,0.87,0.00  -9.69  -10.07
840,0.80,-14.02  -7.39  0.00
841,0.64,0.00  -13.47  0.00
842,0.75,-10.55  0.00  -9.51
843,0.66,-14.20  0.00  -11.40
844,0.71,0.00  -8.35  -8.93
845,0.89,-11.31  -12.01  0.00
846,0.75,-17.07  0.00  -9.00
847,0.85,-10.39  -12.22  0.00
848,0.70,-20.13  -13.18  0.00
849,0.80,0.00  0.00  -26.23
850,0.82,-18.79  0.00  -17.63
851,0.66,-8.71  0.00  -12.79
852,0.59,-16.99  -15.53  0.00
853,0.71,-22.39  0.00  0.00
854,0.93,-16.99  0.00  -10.06
855,0.65,-9.04  -14.26  0.00
856,0.57,0.00  -9.56  -14.44
857,0.66,-16.70  -10.40  0.00
858,0.65,-4.60  0.00  -6.38
859,0.75,-9.10  -11.70  0.00
860,0.79,-7.28  -13.69  0.00
861,0.81,0.00  -15.19  -17.89
862,0.93,-10.44  0.00  -6.45
863,0.62,0.00  -5.90  -6.80
864,0.80,0.00  -16.36  0.00
865,0.73,-21.14  0.00  0.00
866,0.89,-10.81  -19.05  0.00
867,0.81,0.00  -18.74  0.00
868,0.84,0.00  -9.27  -8.17
869,0.67,0.00  -20.69  -19.47
870,0.86,-11.99  0.00  -11.78
871,0.75,-16.21  0.00  0.00
872,0.58,-16.63  -18.18  0.00
873,0.81,-17.47  0.00  0.00
874,0.78,0.00  0.00  -20.28
875,0.72,-7.33  0.00  -7.51
876,0.82,-6.82  -9.73  0.00
877,0.88,0.00  -11.57  -9.17
878,0.79,0.00  -8.80  -16.61
879,0.66,-9.47  -8.08  0.00
880,0.85,0.00  -7.37  -12.22
881,0.85,0.00  -9.74  -6.21
882,0.77,-15.94  -22.67  0.00
883,0.82,-22.24  0.00  -21.73
884,0.74,-11.71  0.00  -17.44
885,0.68,-11.04  0.00  -11.31
886,0.75,-10.26  0.00  -16.06
887,0.84,-6.46  -11.13  0.00
888,0.84,-30.22  0.00  0.00
889,0.77,-7.72  -15.67  0.00
890,0.83,-11.21  -13.71  0.00
891,0.87,-10.08  -7.30  0.00
892,0.87,-12.89  0.00  -12.05
893,0.69,-8.37  0.00  -12.57
894,0.87,-10.01  -6.17  0.00
895,0.78,0.00  -10.66  -5.58
896,0.73,-18.06  -13.66  0.00
897,0.70,-6.60  0.00  -7.45
898,0.66,-16.16  0.00  0.00
899,0.77,-17.76  0.00  0.00
900,0.68,-14.60  0.00  0.00
901,0.73,-8.64  -12.13  0.00
902,0.61,-19.67  0.00  0.00
903,0.61,-8.71  0.00  -8.53
904,0.65,-21.40  0.00  -13.41
905,0.77,0.00  0.00  -19.83
906,0.67,-23.56  0.00  0.00
907,0.76,0.00  -20.52  0.00
908,0.66,-11.40  -9.11  0.00
909,0.71,-12.76  -14.92  0.00
910,0.74,-18.06  -12.55  0.00
911,0.91,-13.36  -18.01  0.00
912,0.78,0.00  0.00  -27.18
913,0.65,-14.16  -14.16  0.00
914,0.72,-8.50  0.00  -6.57
915,0.83,-20.57  0.00  -14.64
916,0.83,0.00  -18.22  0.00
917,0.69,0.00  -16.99  0.00
918,0.68,-9.03  -4.79  0.00
919,0.69,-9.44  -8.76  0.00
920,0.77,0.00  0.00  -18.79
921,0.80,0.00  -22.85  -11.57
922,0.81,0.00  -14.12  0.00
923,0.76,0.00  0.00  -21.00
924,0.62,-11.49  0.00  -14.81
925,0.71,-16.32  0.00  -14.85
926,0.78,-17.05  0.00  0.00
927,0.90,-12.91  -12.54  0.00
928,0.72,0.00  -20.46  -11.86
929,0.66,0.00  -16.13  -16.19
930,0.84,0.00  -12.81  0.00
931,0.85,-10.27  0.00  -18.56
932,0.63,-30.36  0.00  0.00
933,0.64,-18.15  0.00  -10.49
934,0.88,-13.58  0.00  0.00
935,0.72,0.00  -7.45  -7.15
936,0.70,-21.39  0.00  0.00
937,0.77,-14.63  -12.46  0.00
938,0.85,-18.91  0.00  0.00
939,0.65,-13.91  -10.73  0.00
940,0.79,-9.23  -8.92  0.00
941,0.87,-9.22  0.00  -11.33
942,0.81,0.00  -27.38  0.00
943,0.67,-10.45  -9.84  0.00
944,0.62,-25.99  0.00  0.00
945,0.69,-17.96  -17.82  0.00
946,0.83,-12.41  -13.29  0.00
947,0.62,0.00  0.00  -14.33
948,0.72,0.00  -11.65  -17.54
949,0.76,-18.25  -18.19  0.00
950,0.74,0.00  -19.45  -15.17
951,0.65,-14.88  -14.06  0.00
952,0.67,-7.51  -5.86  0.00
953,0.81,-9.48  0.00  -21.81
954,0.76,-6.34  -6.13  0.00
955,0.69,0.00  -19.05  -20.31
956,0.87,0.00  -10.04  -5.89
957,0.77,0.00  0.00  -23.66
958,0.73,0.00  -14.87  -10.56
959,0.64,-8.36  0.00  -11.24
960,0.62,-6.39  -6.96  0.00
961,0.74,-19.82  0.00  0.00
962,0.92,0.00  -17.49  0.00
963,0.61,-15.92  0.00  -14.11
964,0.73,-10.79  -9.78  0.00
965,0.67,-16.37  -15.67  0.00
966,0.84,-8.11  -8.83  0.00
967,0.71,-24.34  -14.37  0.00
968,0.71,-11.25  -11.61  0.00
969,0.83,0.00  -9.51  -9.86
970,0.83,-13.49  0.00  -16.83
971,0.78,-13.66  0.00  -9.38
972,0.78,-10.08  -18.35  0.00
973,0.86,-12.29  0.00  0.00
974,0.74,-6.77  -7.01  0.00
975,0.74,-10.58  -7.99  0.00
976,0.94,0.00  -13.06  -10.70
977,0.75,-5.45  -8.38  0.00
978,0.78,-8.95  -13.87  0.00
979,0.87,0.00  0.00  -17.70
980,0.90,0.00  -15.89  0.00
981,0.84,0.00  -9.80  -10.43
982,0.67,-5.30  -10.26  0.00
983,0.69,-21.40  0.00  0.00
984,0.80,0.00  -6.29  -14.20
985,0.81,-16.19  -9.70  0.00
986,0.82,-14.13  0.00  -8.60
987,0.59,-10.46  0.00  -20.47
988,0.66,0.00  0.00  -24.89
989,0.86,0.00  -13.36  -6.13
990,0.80,0.00  0.00  -21.41
991,0.86,-10.26  -5.15  0.00
992,0.66,-8.65  0.00  -11.48
993,0.75,-15.89  0.00  -14.83
994,0.78,0.00  0.00  -17.93
995,0.69,0.00  0.00  -20.43
996,0.60,0.00  -13.65  -15.96
997,0.87,0.00  0.00  -28.71
998,0.83,-12.50  -8.02  0.00
999,0.88,-14.46  0.00  -16.78
1000,0.68,-9.99  -17.40  0.00
1001,0.77,-10.73  -6.12  0.00
1002,0.68,-15.31  0.00  -13.34
1003,0.82,0.00  0.00  -28.84
1004,0.70,-17.97  0.00  0.00
1005,0.91,-18.72  -17.25  0.00
1006,0.68,-12.05  -16.96  0.00
1007,0.83,0.00  -21.25  -20.95
1008,0.70,-11.16  -11.95  0.00
1009,0.64,-9.15  -10.74  0.00
1010,0.70,-6.36  -6.36  0.00
1011,0.85,-7.51  0.00  -8.10
1012,0.77,0.00  0.00  -24.94
1013,0.94,0.00  -8.04  -6.20
1014,0.65,-23.67  -14.54  0.00
1015,0.73,-17.31  0.00  -10.94
1016,0.75,-17.17  0.00  -13.13
1017,0.77,-15.11  -10.14  0.00
1018,0.80,0.00  0.00  -22.16
1019,0.91,0.00  0.00  -29.11
1020,0.63,-32.07  0.00  0.00
1021,0.75,-15.99  0.00  -10.10
1022,0.71,-7.33  0.00  -7.79
1023,0.70,-7.93  0.00  -10.51
1024,0.66,-8.04  -8.78  0.00
1025,0.87,0.00  -5.77  -5.33
1026,0.69,-7.16  -10.92  0.00
1027,0.79,0.00  -20.66  0.00
1028,0.63,-16.72  0.00  0.00
1029,0.82,-9.94  0.00  -11.66
1030,0.71,-9.73  -9.37  0.00
1031,0.93,0.00  -22.19  0.00
1032,0.91,-5.79  0.00  -10.46
1033,0.77,-12.15  0.00  -17.29
1034,0.65,-14.46  -6.94  0.00
1035,0.63,0.00  0.00  -15.96
1036,0.74,-10.76  -10.00  0.00
1037,0.90,-11.80  -12.18  0.00
1038,0.65,0.00  0.00  -18.70
1039,0.64,-6.91  0.00  -7.13
1040,0.79,0.00  -5.71  -6.33
1041,0.70,-8.79  -6.65  0.00
1042,0.83,-9.25  -13.63  0.00
1043,0.77,-9.29  0.00  -9.55
1044,0.72,0.00  -14.63  -16.37
1045,0.79,-12.53  -7.81  0.00
1046,0.84,-12.95  -9.27  0.00
1047,0.71,-11.97  -14.18  0.00
1048,0.62,-12.11  0.00  0.00
1049,0.66,-7.29  -10.75  0.00
1050,0.61,0.00  -8.05  -4.15
1051,0.78,0.00  -15.93  0.00
1052,0.67,-12.26  -12.28  0.00
1053,0.94,-8.10  -8.30  0.00
1054,0.66,-5.67  -8.41  0.00
1055,0.85,0.00  -14.31  -10.69
1056,0.67,-20.06  -14.53  0.00
1057,0.88,-18.21  0.00  0.00
1058,0.76,-6.48  0.00  -10.98
1059,0.70,-13.04  -20.70  0.00
1060,0.79,-12.98  -10.36  0.00
1061,0.68,0.00  -14.56  -12.02
1062,0.82,-7.42  0.00  -11.14
1063,0.76,0.00  -8.07  -4.51
1064,0.67,0.00  0.00  -25.46
1065,0.75,-13.41  -15.90  0.00
1066,0.69,-15.88  -12.80  0.00
1067,0.71,0.00  -12.47  -10.61
1068,0.81,0.00  -13.80  -13.76
1069,0.64,-6.75  0.00  -14.06
1070,0.78,-9.28  0.00  -8.16
1071,0.92,0.00  -21.15  0.00
1072,0.63,-7.23  -11.95  0.00
1073,0.77,-8.23  -9.71  0.00
1074,0.70,-8.27  -4.74  0.00
1075,0.62,-10.09  0.00  -10.64
1076,0.67,-17.69  0.00  -19.32
1077,0.75,-8.55  0.00  -8.38
1078,0.86,-17.55  0.00  -17.75
1079,0.62,-14.42  0.00  -10.09
1080,0.80,-8.44  -5.62  0.00
1081,0.87,-20.27  0.00  0.00
1082,0.77,-16.54  0.00  -11.15
1083,0.66,0.00  0.00  -18.74
1084,0.70,-9.91  -8.32  0.00
1085,0.69,-6.45  -8.40  0.00
1086,0.83,-9.38  -9.58  0.00
1087,0.62,0.00  -6.95  -16.74
1088,0.87,-11.68  0.00  -11.79
1089,0.77,-21.71  0.00  -13.49
1090,0.85,-7.82  0.00  -7.02
1091,0.90,-10.55  -10.49  0.00
1092,0.65,-16.76  0.00  -9.16
1093,0.75,-11.34  -6.28  0.00
1094,0.80,-7.03  -10.10  0.00
1095,0.67,0.00  -18.40  -10.55
1096,0.67,-21.39  0.00  -15.27
1097,0.78,-10.30  0.00  -8.26
1098,0.93,-6.54  -9.69  0.00
1099,0.67,-17.55  0.00  -16.40
1100,0.73,-7.75  -8.69  0.00
1101,0.85,-14.72  0.00  -11.92
1102,0.90,-15.50  -12.21  0.00
1103,0.89,-17.20  -14.90  0.00
1104,0.73,-9.09  0.00  -6.43
1105,0.80,-16.98  0.00  -11.32
1106,0.70,-10.06  -7.93  0.00
1107,0.66,-11.18  -11.09  0.00
1108,0.89,-23.51  0.00  0.00
1109,0.69,0.00  -11.01  -15.35
1110,0.63,-20.16  0.00  0.00
1111,0.64,-16.12  0.00  -8.80
1112,0.64,-10.69  0.00  0.00
1113,0.68,-11.45  0.00  -10.01
1114,0.69,-11.84  -6.56  0.00
1115,0.73,-9.17  -8.93  0.00
1116,0.86,-10.89  0.00  -5.70
1117,0.70,-6.97  -10.23  0.00
1118,0.77,-13.49  0.00  -7.20
1119,0.76,0.00  0.00  -25.31
1120,0.63,-9.10  0.00  -9.66
1121,0.76,-11.85  -13.18  0.00
1122,0.70,-21.52  -14.62  0.00
1123,0.71,-18.77  -22.08  0.00
1124,0.87,-18.46  -20.50  0.00
1125,0.64,0.00  -12.10  -15.23
1126,0.81,0.00  -12.94  0.00
1127,0.81,0.00  -5.92  -10.81
1128,0.84,-10.79  -4.59  0.00
1129,0.77,-8.01  0.00  -16.54
1130,0.61,-22.28  -10.68  0.00
1131,0.77,-11.69  -13.02  0.00
1132,0.70,-6.39  0.00  -9.58
1133,0.63,-17.62  -21.57  0.00
1134,0.81,0.00  -21.29  0.00
1135,0.67,-10.76  0.00  -5.91
1136,0.73,-16.35  -18.49  0.00
1137,0.82,-9.33  -17.98  0.00
1138,0.64,-8.45  -16.79  0.00
1139,0.59,-18.40  -11.69  0.00
1140,0.72,-11.30  -6.92  0.00
1141,0.65,0.00  -14.97  0.00
1142,0.71,-18.48  -22.49  0.00
1143,0.80,0.00  -16.39  0.00
1144,0.72,0.00  0.00  -21.64
1145,0.72,-7.46  -6.72  0.00
1146,0.64,-13.07  -9.13  0.00
1147,0.89,0.00  -9.71  -13.74
1148,0.68,0.00  0.00  -19.77
1149,0.70,-8.16  0.00  -10.73
1150,0.77,0.00  -9.23  -8.53
1151,0.67,-15.82  -7.71  0.00
1152,0.76,0.00  -29.41  0.00
1153,0.89,0.00  0.00  -31.13
1154,0.58,-9.38  -4.31  0.00
1155,0.84,-22.84  0.00  0.00
1156,0.78,0.00  -16.16  0.00
1157,0.68,-9.91  -12.12  0.00
1158,0.81,0.00  -6.38  -11.63
1159,0.80,-16.60  0.00  -8.44
1160,0.72,0.00  -20.70  -19.15
1161,0.59,-20.06  0.00  0.00
1162,0.91,-7.54  0.00  -9.00
1163,0.93,0.00  -11.13  -11.96
1164,0.69,0.00  -7.16  -5.27
1165,0.60,-11.24  -7.99  0.00
1166,0.68,0.00  -8.95  -14.99
1167,0.70,-11.62  -15.29  0.00
1168,0.66,-9.00  0.00  -9.69
1169,0.73,-9.09  0.00  -13.44
1170,0.87,0.00  -16.54  0.00
1171,0.65,0.00  0.00  -30.90
1172,0.66,0.00  0.00  -18.76
1173,0.79,0.00  -6.00  -4.72
1174,0.86,0.00  0.00  -20.85
1175,0.83,-4.76  0.00  -10.29
1176,0.74,-21.53  -16.32  0.00
1177,0.64,-14.83  -19.07  0.00
1178,0.68,-16.95  0.00  -14.72
1179,0.79,-11.57  -8.78  0.00
1180,0.75,-14.16  -14.62  0.00
1181,0.67,-17.51  -21.44  0.00
1182,0.75,-12.31  -11.36  0.00
1183,0.90,-8.35  0.00  -16.40
1184,0.80,0.00  -8.65  -15.61
1185,0.85,-7.26  -9.02  0.00
1186,0.73,-20.83  -22.13  0.00
1187,0.81,-18.57  -11.99  0.00
1188,0.77,-8.74  -9.32  0.00
1189,0.64,-5.11  -11.05  0.00
1190,0.67,-8.57  -6.75  0.00
1191,0.76,-24.28  0.00  0.00
1192,0.90,0.00  -7.68  -7.48
1193,0.66,-11.93  0.00  -12.08
1194,0.73,-9.79  0.00  -20.17
1195,0.76,0.00  -15.59  -11.20
1196,0.77,-8.63  0.00  -8.72
1197,0.79,0.00  0.00  -18.10
1198,0.89,0.00  -7.57  -10.45
1199,0.65,-11.90  -10.73  0.00
