id,action,origin,destination,start_time
784,0,0,0,2352
785,0,1,1,2352
786,2,0,0,2358
787,0,1,1,2358
788,1,0,0,2364
789,1,1,1,2364
790,1,0,0,2370
791,2,1,1,2370
792,0,0,0,2376
793,2,1,1,2376
794,1,0,0,2382
795,0,1,1,2382
796,2,0,0,2388
797,0,1,1,2388
798,2,0,0,2394
799,0,1,1,2394
800,2,0,0,2400
801,2,1,1,2400
802,1,0,0,2406
803,0,1,1,2406
804,2,0,0,2412
805,2,1,1,2412
806,2,0,0,2418
807,1,1,1,2418
808,2,0,0,2424
809,1,1,1,2424
810,2,0,0,2430
811,1,1,1,2430
812,0,0,0,2436
813,2,1,1,2436
814,2,0,0,2442
815,1,1,1,2442
816,1,0,0,2448
817,1,1,1,2448
818,2,0,0,2454
819,2,1,1,2454
820,2,0,0,2460
821,1,1,1,2460
822,2,0,0,2466
823,0,1,1,2466
824,1,0,0,2472
825,2,1,1,2472
826,1,0,0,2478
827,0,1,1,2478
828,1,0,0,2484
829,1,1,1,2484
830,2,0,0,2490
831,1,1,1,2490
832,0,0,0,2496
833,0,1,1,2496
834,0,0,0,2502
835,2,1,1,2502
836,2,0,0,2508
837,1,1,1,2508
838,0,0,0,2514
839,2,1,1,2514
840,0,0,0,2520
841,0,1,1,2520
842,1,0,0,2526
843,2,1,1,2526
844,0,0,0,2532
845,1,1,1,2532
846,1,0,0,2538
847,2,1,1,2538
848,2,0,0,2544
849,0,1,1,2544
850,1,0,0,2550
851,2,1,1,2550
852,1,0,0,2556
853,0,1,1,2556
854,0,0,0,2562
855,0,1,1,2562
856,1,0,0,2568
857,0,1,1,2568
858,2,0,0,2574
859,1,1,1,2574
860,2,0,0,2580
861,2,1,1,2580
862,1,0,0,2586
863,0,1,1,2586
864,0,0,0,2592
865,2,1,1,2592
866,2,0,0,2598
867,1,1,1,2598
868,0,0,0,2604
869,1,1,1,2604
870,0,0,0,2610
871,2,1,1,2610
872,1,0,0,2616
873,1,1,1,2616
874,0,0,0,2622
875,1,1,1,2622
876,2,0,0,2628
877,1,1,1,2628
878,0,0,0,2634
879,2,1,1,2634
880,1,0,0,2640
881,0,1,1,2640
882,1,0,0,2646
883,2,1,1,2646
884,2,0,0,2652
885,1,1,1,2652
886,1,0,0,2658
887,0,1,1,2658
888,0,0,0,2664
889,1,1,1,2664
890,2,0,0,2670
891,2,1,1,2670
892,1,0,0,2676
893,2,1,1,2676
894,2,0,0,2682
895,1,1,1,2682
896,1,0,0,2688
897,0,1,1,2688
898,0,0,0,2694
899,0,1,1,2694
900,2,0,0,2700
901,0,1,1,2700
902,0,0,0,2706
903,2,1,1,2706
904,2,0,0,2712
905,1,1,1,2712
906,1,0,0,2718
907,1,1,1,2718
908,1,0,0,2724
909,1,1,1,2724
910,0,0,0,2730
911,0,1,1,2730
912,1,0,0,2736
913,1,1,1,2736
914,2,0,0,2742
915,2,1,1,2742
916,2,0,0,2748
917,2,1,1,2748
918,1,0,0,2754
919,0,1,1,2754
920,1,0,0,2760
921,0,1,1,2760
922,0,0,0,2766
923,1,1,1,2766
924,0,0,0,2772
925,1,1,1,2772
926,0,0,0,2778
927,0,1,1,2778
928,0,0,0,2784
929,2,1,1,2784
930,2,0,0,2790
931,0,1,1,2790
932,2,0,0,2796
933,2,1,1,2796
934,0,0,0,2802
935,1,1,1,2802
936,1,0,0,2808
937,2,1,1,2808
938,1,0,0,2814
939,2,1,1,2814
940,1,0,0,2820
941,0,1,1,2820
942,2,0,0,2826
943,0,1,1,2826
944,1,0,0,2832
945,2,1,1,2832
946,1,0,0,2838
947,0,1,1,2838
948,2,0,0,2844
949,2,1,1,2844
950,1,0,0,2850
951,1,1,1,2850
952,1,0,0,2856
953,1,1,1,2856
954,1,0,0,2862
955,0,1,1,2862
956,2,0,0,2868
957,0,1,1,2868
958,1,0,0,2874
959,1,1,1,2874
960,0,0,0,2880
961,2,1,1,2880
962,1,0,0,2886
963,0,1,1,2886
964,1,0,0,2892
965,0,1,1,2892
966,1,0,0,2898
967,1,1,1,2898
968,1,0,0,2904
969,0,1,1,2904
970,0,0,0,2910
971,2,1,1,2910
972,0,0,0,2916
973,1,1,1,2916
974,0,0,0,2922
975,2,1,1,2922
976,0,0,0,2928
977,0,1,1,2928
978,2,0,0,2934
979,2,1,1,2934
980,2,0,0,2940
981,2,1,1,2940
982,1,0,0,2946
983,2,1,1,2946
984,0,0,0,2952
985,1,1,1,2952
986,2,0,0,2958
987,1,1,1,2958
988,2,0,0,2964
989,0,1,1,2964
990,1,0,0,2970
991,1,1,1,2970
992,1,0,0,2976
993,2,1,1,2976
994,0,0,0,2982
995,1,1,1,2982
996,2,0,0,2988
997,0,1,1,2988
998,2,0,0,2994
999,2,1,1,2994
1000,1,0,0,3000
1001,2,1,1,3000
1002,0,0,0,3006
1003,0,1,1,3006
1004,1,0,0,3012
1005,0,1,1,3012
1006,0,0,0,3018
1007,2,1,1,3018
1008,2,0,0,3024
1009,0,1,1,3024
1010,0,0,0,3030
1011,1,1,1,3030
1012,1,0,0,3036
1013,2,1,1,3036
1014,1,0,0,3042
1015,2,1,1,3042
1016,0,0,0,3048
1017,2,1,1,3048
1018,0,0,0,3054
1019,0,1,1,3054
1020,2,0,0,3060
1021,1,1,1,3060
1022,2,0,0,3066
1023,0,1,1,3066
1024,2,0,0,3072
1025,0,1,1,3072
1026,1,0,0,3078
1027,2,1,1,3078
1028,2,0,0,3084
1029,1,1,1,3084
1030,1,0,0,3090
1031,2,1,1,3090
1032,0,0,0,3096
1033,0,1,1,3096
1034,0,0,0,3102
1035,1,1,1,3102
1036,0,0,0,3108
1037,2,1,1,3108
1038,1,0,0,3114
1039,0,1,1,3114
1040,0,0,0,3120
1041,1,1,1,3120
1042,1,0,0,3126
1043,2,1,1,3126
1044,0,0,0,3132
1045,1,1,1,3132
1046,1,0,0,3138
1047,0,1,1,3138
1048,2,0,0,3144
1049,2,1,1,3144
1050,2,0,0,3150
1051,0,1,1,3150
1052,2,0,0,3156
1053,0,1,1,3156
1054,0,0,0,3162
1055,2,1,1,3162
1056,1,0,0,3168
1057,1,1,1,3168
1058,1,0,0,3174
1059,1,1,1,3174
1060,0,0,0,3180
1061,0,1,1,3180
1062,2,0,0,3186
1063,2,1,1,3186
1064,1,0,0,3192
1065,0,1,1,3192
1066,2,0,0,3198
1067,0,1,1,3198
1068,0,0,0,3204
1069,2,1,1,3204
1070,1,0,0,3210
1071,0,1,1,3210
1072,0,0,0,3216
1073,2,1,1,3216
1074,2,0,0,3222
1075,2,1,1,3222
1076,0,0,0,3228
1077,2,1,1,3228
1078,2,0,0,3234
1079,1,1,1,3234
1080,0,0,0,3240
1081,1,1,1,3240
1082,2,0,0,3246
1083,1,1,1,3246
1084,1,0,0,3252
1085,2,1,1,3252
1086,1,0,0,3258
1087,2,1,1,3258
1088,2,0,0,3264
1089,0,1,1,3264
1090,1,0,0,3270
1091,2,1,1,3270
1092,0,0,0,3276
1093,1,1,1,3276
1094,2,0,0,3282
1095,2,1,1,3282
1096,1,0,0,3288
1097,1,1,1,3288
1098,1,0,0,3294
1099,2,1,1,3294
1100,0,0,0,3300
1101,0,1,1,3300
1102,2,0,0,3306
1103,0,1,1,3306
1104,0,0,0,3312
1105,0,1,1,3312
1106,1,0,0,3318
1107,0,1,1,3318
1108,1,0,0,3324
1109,0,1,1,3324
1110,0,0,0,3330
1111,0,1,1,3330
1112,2,0,0,3336
1113,0,1,1,3336
1114,2,0,0,3342
1115,2,1,1,3342
1116,1,0,0,3348
1117,0,1,1,3348
1118,0,0,0,3354
1119,1,1,1,3354
1120,1,0,0,3360
1121,1,1,1,3360
1122,2,0,0,3366
1123,1,1,1,3366
1124,0,0,0,3372
1125,2,1,1,3372
1126,0,0,0,3378
1127,2,1,1,3378
1128,0,0,0,3384
1129,1,1,1,3384
1130,2,0,0,3390
1131,0,1,1,3390
1132,2,0,0,3396
1133,0,1,1,3396
1134,0,0,0,3402
1135,0,1,1,3402
1136,0,0,0,3408
1137,1,1,1,3408
1138,2,0,0,3414
1139,0,1,1,3414
1140,2,0,0,3420
1141,1,1,1,3420
1142,2,0,0,3426
1143,0,1,1,3426
1144,0,0,0,3432
1145,1,1,1,3432
1146,1,0,0,3438
1147,0,1,1,3438
1148,1,0,0,3444
1149,1,1,1,3444
1150,0,0,0,3450
1151,1,1,1,3450
1152,1,0,0,3456
1153,1,1,1,3456
1154,2,0,0,3462
1155,0,1,1,3462
1156,0,0,0,3468
1157,2,1,1,3468
1158,0,0,0,3474
1159,1,1,1,3474
1160,1,0,0,3480
1161,0,1,1,3480
1162,2,0,0,3486
1163,2,1,1,3486
1164,1,0,0,3492
1165,0,1,1,3492
1166,1,0,0,3498
1167,0,1,1,3498
1168,0,0,0,3504
1169,0,1,1,3504
1170,0,0,0,3510
1171,1,1,1,3510
1172,0,0,0,3516
1173,2,1,1,3516
1174,0,0,0,3522
1175,2,1,1,3522
1176,2,0,0,3528
1177,1,1,1,3528
1178,1,0,0,3534
1179,0,1,1,3534
1180,2,0,0,3540
1181,1,1,1,3540
1182,1,0,0,3546
1183,1,1,1,3546
1184,0,0,0,3552
1185,0,1,1,3552
1186,1,0,0,3558
1187,1,1,1,3558
1188,2,0,0,3564
1189,1,1,1,3564
1190,1,0,0,3570
1191,2,1,1,3570
1192,2,0,0,3576
1193,0,1,1,3576
1194,1,0,0,3582
1195,1,1,1,3582
1196,0,0,0,3588
1197,2,1,1,3588
1198,2,0,0,3594
1199,2,1,1,3594
