id,action,origin,destination,start_time,epsilon
771,0,1,1,2310,0.80
772,0,0,0,2316,0.66
773,1,1,1,2316,0.70
774,0,0,0,2322,0.87
775,2,1,1,2322,0.83
776,2,0,0,2328,0.69
777,0,1,1,2328,0.76
778,0,0,0,2334,0.75
779,0,1,1,2334,0.85
780,2,0,0,2340,0.71
781,0,1,1,2340,0.84
782,1,0,0,2346,0.87
783,0,1,1,2346,0.66
784,0,0,0,2352,0.74
785,1,1,1,2352,0.66
786,0,0,0,2358,0.87
787,0,1,1,2358,0.71
788,2,0,0,2364,0.64
789,1,1,1,2364,0.62
790,1,0,0,2370,0.80
791,1,1,1,2370,0.70
792,2,0,0,2376,0.86
793,1,1,1,2376,0.66
794,1,0,0,2382,0.84
795,1,1,1,2382,0.61
796,0,0,0,2388,0.83
797,0,1,1,2388,0.82
798,1,0,0,2394,0.63
799,0,1,1,2394,0.86
800,1,0,0,2400,0.70
801,2,1,1,2400,0.91
802,0,0,0,2406,0.64
803,2,1,1,2406,0.69
804,0,0,0,2412,0.93
805,2,1,1,2412,0.85
806,1,0,0,2418,0.79
807,1,1,1,2418,0.82
808,0,0,0,2424,0.72
809,1,1,1,2424,0.62
810,1,0,0,2430,0.73
811,2,1,1,2430,0.60
812,1,0,0,2436,0.86
813,0,1,1,2436,0.76
814,1,0,0,2442,0.59
815,1,1,1,2442,0.77
816,2,0,0,2448,0.73
817,2,1,1,2448,0.73
818,1,0,0,2454,0.91
819,0,1,1,2454,0.73
820,1,0,0,2460,0.68
821,2,1,1,2460,0.63
822,0,0,0,2466,0.63
823,0,1,1,2466,0.72
824,2,0,0,2472,0.71
825,1,1,1,2472,0.81
826,0,0,0,2478,0.83
827,0,1,1,2478,0.88
828,0,0,0,2484,0.66
829,0,1,1,2484,0.61
830,0,0,0,2490,0.82
831,0,1,1,2490,0.81
832,1,0,0,2496,0.62
833,2,1,1,2496,0.83
834,1,0,0,2502,0.72
835,1,1,1,2502,0.64
836,1,0,0,2508,0.82
837,2,1,1,2508,0.83
838,1,0,0,2514,0.59
839,1,1,1,2514,0.88
840,0,0,0,2520,0.78
841,0,1,1,2520,0.72
842,0,0,0,2526,0.66
843,0,1,1,2526,0.73
844,2,0,0,2532,0.64
845,1,1,1,2532,0.68
846,0,0,0,2538,0.60
847,2,1,1,2538,0.82
848,0,0,0,2544,0.79
849,0,1,1,2544,0.68
850,0,0,0,2550,0.74
851,0,1,1,2550,0.73
852,1,0,0,2556,0.89
853,1,1,1,2556,0.69
854,0,0,0,2562,0.71
855,2,1,1,2562,0.70
856,0,0,0,2568,0.63
857,0,1,1,2568,0.77
858,1,0,0,2574,0.81
859,1,1,1,2574,0.81
860,0,0,0,2580,0.75
861,2,1,1,2580,0.82
862,1,0,0,2586,0.93
863,2,1,1,2586,0.87
864,1,0,0,2592,0.96
865,0,1,1,2592,0.92
866,2,0,0,2598,0.92
867,1,1,1,2598,0.68
868,0,0,0,2604,0.82
869,2,1,1,2604,0.78
870,1,0,0,2610,0.69
871,2,1,1,2610,0.82
872,1,0,0,2616,0.76
873,0,1,1,2616,0.65
874,0,0,0,2622,0.82
875,2,1,1,2622,0.85
876,0,0,0,2628,0.63
877,1,1,1,2628,0.74
878,1,0,0,2634,0.79
879,2,1,1,2634,0.69
880,0,0,0,2640,0.81
881,0,1,1,2640,0.65
882,2,0,0,2646,0.81
883,2,1,1,2646,0.76
884,1,0,0,2652,0.75
885,1,1,1,2652,0.63
886,0,0,0,2658,0.81
887,2,1,1,2658,0.71
888,1,0,0,2664,0.68
889,1,1,1,2664,0.86
890,1,0,0,2670,0.85
891,0,1,1,2670,0.70
892,2,0,0,2676,0.88
893,0,1,1,2676,0.68
894,2,0,0,2682,0.71
895,0,1,1,2682,0.69
896,1,0,0,2688,0.64
897,1,1,1,2688,0.87
898,2,0,0,2694,0.75
899,2,1,1,2694,0.78
900,0,0,0,2700,0.78
901,0,1,1,2700,0.71
902,0,0,0,2706,0.69
903,2,1,1,2706,0.67
904,1,0,0,2712,0.85
905,2,1,1,2712,0.69
906,1,0,0,2718,0.74
907,1,1,1,2718,0.64
908,1,0,0,2724,0.69
909,1,1,1,2724,0.59
910,2,0,0,2730,0.64
911,2,1,1,2730,0.75
912,1,0,0,2736,0.89
913,1,1,1,2736,0.65
914,0,0,0,2742,0.90
915,0,1,1,2742,0.77
916,1,0,0,2748,0.82
917,0,1,1,2748,0.86
918,2,0,0,2754,0.81
919,0,1,1,2754,0.90
920,0,0,0,2760,0.63
